Country Name,median of Silver Medal
Unified Team,38
Soviet Union,31
ROC,28
United States,27
East Germany,25
China,20
Russia,20
United Team of Germany,19
West Germany,12
Germany,11
Great Britain,9
Italy,8
Japan,7
Australia,6
France,6
Hungary,5
Sweden,5
Ukraine,5
Belarus,4
Bulgaria,4
Kazakhstan,4
Kenya,4
Poland,4
Romania,4
South Korea,4
Canada,3
Cuba,3
Czech Republic,3
Czechoslovakia,3
Netherlands,3
Australasia,2
Denmark,2
Finland,2
Georgia,2
Jamaica,2
Namibia,2
Norway,2
Russian Empire,2
Serbia and Montenegro,2
Slovakia,2
Spain,2
Switzerland,2
Tanzania,2
Argentina,1
Armenia,1
Austria,1
Azerbaijan,1
Bahrain,1
Belgium,1
Brazil,1
Ceylon,1
Chile,1
Chinese Taipei,1
Colombia,1
Croatia,1
Cyprus,1
Ecuador,1
Egypt,1
Estonia,1
Ethiopia,1
Gabon,1
Greece,1
Guatemala,1
Independent Olympic Participants,1
Indonesia,1
Iran,1
Ireland,1
Kyrgyzstan,1
Latvia,1
Lebanon,1
Malaysia,1
Mexico,1
Mixed team,1
Mongolia,1
Montenegro,1
Netherlands Antilles,1
New Zealand,1
Nigeria,1
North Korea,1
North Macedonia,1
Paraguay,1
Peru,1
Samoa,1
San Marino,1
Saudi Arabia,1
Senegal,1
Serbia,1
Slovenia,1
South Africa,1
Sri Lanka,1
Sudan,1
Tonga,1
Turkey,1
Turkmenistan,1
Uganda,1
Uzbekistan,1
Vietnam,1
Virgin Islands,1
Yugoslavia,1
Zimbabwe,1
Afghanistan,0
Algeria,0
Bahamas,0
Barbados,0
Bermuda,0
Bohemia,0
Botswana,0
British West Indies,0
Burkina Faso,0
Burundi,0
Cameroon,0
Costa Rica,0
Djibouti,0
Dominican Republic,0
Eritrea,0
Fiji,0
Ghana,0
Grenada,0
Guyana,0
Haiti,0
Hong Kong,0
Iceland,0
Independent Olympic Athletes,0
India,0
Iraq,0
Israel,0
Ivory Coast,0
Jordan,0
Kosovo,0
Kuwait,0
Lithuania,0
Luxembourg,0
Macedonia,0
Mauritius,0
Moldova,0
Morocco,0
Mozambique,0
Niger,0
Pakistan,0
Panama,0
Philippines,0
Portugal,0
Puerto Rico,0
Qatar,0
Republic of China,0
Singapore,0
Suriname,0
Syria,0
Tajikistan,0
Thailand,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
United Arab Emirates,0
Uruguay,0
Venezuela,0
Zambia,0
