Country Name,Average Silver Medal
Unified Team,38
Soviet Union,35
United States,29
ROC,28
East Germany,25
Russia,20
China,19
United Team of Germany,18
West Germany,13
Germany,12
Great Britain,11
France,8
Australia,6
Italy,6
Japan,6
Sweden,6
Bulgaria,5
Hungary,5
South Korea,5
Ukraine,5
Belarus,4
Canada,4
Cuba,4
Netherlands,4
Poland,4
Romania,4
Czech Republic,3
Czechoslovakia,3
Finland,3
Kazakhstan,3
Kenya,3
Spain,3
Australasia,2
Azerbaijan,2
Belgium,2
Brazil,2
Denmark,2
Greece,2
Jamaica,2
Mixed team,2
Norway,2
Russian Empire,2
Serbia and Montenegro,2
Slovakia,2
Switzerland,2
Tanzania,2
Argentina,1
Armenia,1
Austria,1
Ceylon,1
Chile,1
Chinese Taipei,1
Colombia,1
Croatia,1
Cyprus,1
Egypt,1
Gabon,1
Georgia,1
Guatemala,1
Independent Olympic Participants,1
Indonesia,1
Iran,1
Kyrgyzstan,1
Latvia,1
Malaysia,1
Mexico,1
Montenegro,1
Namibia,1
Netherlands Antilles,1
New Zealand,1
Nigeria,1
North Korea,1
North Macedonia,1
Paraguay,1
Samoa,1
San Marino,1
Senegal,1
Serbia,1
Slovenia,1
South Africa,1
Sri Lanka,1
Sudan,1
Tonga,1
Turkey,1
Turkmenistan,1
Virgin Islands,1
Yugoslavia,1
Zimbabwe,1
Afghanistan,0
Algeria,0
Bahamas,0
Bahrain,0
Barbados,0
Bermuda,0
Bohemia,0
Botswana,0
British West Indies,0
Burkina Faso,0
Burundi,0
Cameroon,0
Costa Rica,0
Djibouti,0
Dominican Republic,0
Ecuador,0
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,0
Ghana,0
Grenada,0
Guyana,0
Haiti,0
Hong Kong,0
Iceland,0
Independent Olympic Athletes,0
India,0
Iraq,0
Ireland,0
Israel,0
Ivory Coast,0
Jordan,0
Kosovo,0
Kuwait,0
Lebanon,0
Lithuania,0
Luxembourg,0
Macedonia,0
Mauritius,0
Moldova,0
Mongolia,0
Morocco,0
Mozambique,0
Niger,0
Pakistan,0
Panama,0
Peru,0
Philippines,0
Portugal,0
Puerto Rico,0
Qatar,0
Republic of China,0
Saudi Arabia,0
Singapore,0
Suriname,0
Syria,0
Tajikistan,0
Thailand,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
Uganda,0
United Arab Emirates,0
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
Zambia,0
